,logic,logical,logics,syllogism,syllogisms,model,mathematics,mathematical,number,set,sets,probability,probabilities,proof,language,linguistic,sentences,sentence,proposition,propositions,verb,verbs,discourse,word,words,cognition,cognitive,consciousness,thought,thoughts,knowledge,know,mental,perception,neural,brain,mind,selfknowledge,objects,object,truth,abstract,abstraction,phenomenal,phenomenology,representation,representational,representations,experience,experiences,ethics,ethical,moral,morality,religion
Logic and Artificial Intelligence_8 Towards a Formalization of Common Sense.txt,0.0,0.024560935532147873,0.09870788367878902,0.0,0.0,0.0,0.016853338449517703,0.0,0.0,0.0,0.0,0.0,0.0,0.018481412975466877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01594912864399148,0.0,0.011280520768413231,0.0,0.1295716967407884,0.0,0.014248262814752593,0.0,0.0,0.0,0.013162719803439245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01821450060063155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aristotles Logic_1 Introduction.txt,0.2320433655234936,0.10979450194340627,0.0,0.0,0.0,0.0,0.0753393085831953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luitzen Egbertus Jan Brouwer_1 The Person.txt,0.023941140656712864,0.022656158329979796,0.0,0.0,0.0,0.0,0.18655571346680755,0.02883070430824707,0.023552714455754388,0.0,0.0,0.0,0.0,0.0,0.02333598525818965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03737247711825514,0.0,0.0
Ancient Logic_3 The early Peripatetics Theophrastus and Eudemus.txt,0.01993243596442077,0.018862611083882437,0.0,0.11505506160340168,0.3775685226114212,0.0,0.0,0.0,0.029413571772277623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06515135662914978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
States of Affairs_2 Thoughts and States of Affairs.txt,0.0,0.004019101305009709,0.0,0.0,0.0,0.0,0.0,0.0,0.012534439073068736,0.030083163172424886,0.011672372277234652,0.017128748375868377,0.0,0.0,0.0,0.0,0.0740370888666238,0.024061391628349277,0.034998673129972624,0.01924911330267942,0.008933905313137357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03691842738007785,0.1741281870038773,0.0,0.0,0.0,0.0,0.0,0.0,0.004307841146379448,0.0,0.04158840809558813,0.026607501314950252,0.008260379378014625,0.029080074297412335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abstract Objects_4 The Way of Example.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049955149145583876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1137164024479423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20074453191987407,0.0,0.0,0.3509190523481761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logical Constants_Further reading.txt,0.0,0.21762097152598192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logic and Artificial Intelligence_2 John McCarthy and Common Sense Logicism10.txt,0.10463837785091526,0.19804433631426538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02273980205207921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04137884740356167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Concepts_1 The ontology of concepts.txt,0.0,0.0074327971299804315,0.0,0.0,0.0,0.010366277822700942,0.0,0.0,0.02318078985769552,0.0,0.0,0.0,0.0,0.0,0.13014907070047696,0.0,0.025672841072425,0.0,0.0,0.008899673288434199,0.0,0.0,0.0,0.022208764672184095,0.053829571295946566,0.0,0.048266336376145996,0.0,0.08193090750869861,0.022208764672184095,0.017427496411500897,0.008971595215991095,0.3966953582555308,0.0,0.0,0.01301911901312449,0.07966783337685346,0.0,0.06152981512519415,0.008201176681098656,0.0,0.08604761169189866,0.0,0.0,0.0,0.18741466011262686,0.012423908058043765,0.34786942562522544,0.0,0.0,0.0,0.0,0.024521548324214406,0.0,0.0
Propositional Function_12 Conclusion.txt,0.19831384640067687,0.0,0.0,0.0,0.0,0.0,0.0,0.11940800874510343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
